COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Montenegro,MNE,EURO,REPORTING,2023-12-23,526975.0,272152.0,84.0,43.0,254365.0,40.0,,2021-02-24,,,
Mozambique,MOZ,AFRO,REPORTING,2023-12-31,3.4950858E7,2.2869646E7,112.0,73.0,2.1329745E7,68.0,,2021-03-08,,2323562.0,7.0
Mauritania,MRT,AFRO,REPORTING,2023-12-31,4075874.0,2103754.0,88.0,45.0,1540597.0,33.0,,2021-03-26,,383937.0,8.0
Montserrat,MSR,AMRO,REPORTING,2023-12-29,4619.0,2104.0,92.0,42.0,1952.0,39.0,,2021-02-08,,563.0,11.0
Mauritius,MUS,AFRO,REPORTING,2023-12-31,2616012.0,1123773.0,206.0,88.0,1088142.0,86.0,,2021-01-26,,654507.0,51.0
Malawi,MWI,AFRO,REPORTING,2023-12-31,8503954.0,5433538.0,44.0,28.0,4288014.0,22.0,,2021-03-11,,1232829.0,6.0
Malaysia,MYS,WPRO,REPORTING,2023-12-31,7.2647279E7,2.8137593E7,224.0,87.0,2.7550612E7,85.0,,2021-02-24,,1.634767E7,51.0
Namibia,NAM,AFRO,REPORTING,2023-12-31,1005937.0,629767.0,40.0,25.0,550978.0,22.0,,2021-03-19,,298560.0,12.0
Niger,NER,AFRO,REPORTING,2023-12-31,7372208.0,6248483.0,30.0,26.0,5483001.0,23.0,,2021-03-29,,,
Nigeria,NGA,AFRO,REPORTING,2023-12-31,1.33048021E8,9.3829435E7,65.0,46.0,8.1297808E7,39.0,,2021-03-05,,1.6826715E7,8.0
Nicaragua,NIC,AMRO,REPORTING,2023-12-29,1.5507763E7,6404524.0,234.0,97.0,6126708.0,92.0,,2021-03-03,,2892531.0,44.0
Netherlands (Kingdom of the),NLD,EURO,REPORTING,2023-12-23,4.0291263E7,1.3469323E7,231.0,77.0,1.2405837E7,71.0,,2020-12-30,,1.2146841E7,70.0
Norway,NOR,EURO,REPORTING,2023-12-23,1.3020641E7,4346149.0,243.0,81.0,4061312.0,76.0,,2020-12-23,,3705726.0,69.0
Panama,PAN,AMRO,REPORTING,2023-12-29,9201276.0,3746041.0,213.0,87.0,3178700.0,74.0,,2021-01-20,,1770843.0,41.0
Peru,PER,AMRO,REPORTING,2023-12-29,9.1328338E7,3.0542485E7,277.0,93.0,2.8709882E7,87.0,,2021-02-09,,2.2245062E7,67.0
Papua New Guinea,PNG,WPRO,REPORTING,2023-12-04,543670.0,399198.0,6.0,4.0,338004.0,4.0,,2021-03-30,,37525.0,
Poland,POL,EURO,REPORTING,2023-12-23,5.8634593E7,2.2984543E7,154.0,61.0,2.2705868E7,60.0,,2020-12-23,,1.2928562E7,34.0
Puerto Rico,PRI,AMRO,REPORTING,2023-12-29,7846764.0,3136418.0,274.0,100.0,2688410.0,94.0,,,,1808780.0,63.0
Portugal,PRT,EURO,REPORTING,2023-12-23,2.7360186E7,9822021.0,266.0,95.0,8910340.0,87.0,,2020-12-23,,7052055.0,68.0
Paraguay,PRY,AMRO,REPORTING,2023-12-29,9954852.0,3995915.0,140.0,56.0,3550673.0,50.0,,2021-02-22,,1660766.0,23.0
Romania,ROU,EURO,REPORTING,2023-12-23,1.6112261E7,8188137.0,83.0,42.0,8142363.0,42.0,,2021-01-27,,1770001.0,9.0
Russian Federation,RUS,EURO,REPORTING,2023-12-23,1.87374508E8,8.9081596E7,128.0,61.0,7.9702396E7,55.0,,,,,
Rwanda,RWA,AFRO,REPORTING,2023-12-31,2.7322059E7,1.0884714E7,211.0,84.0,1.0399665E7,80.0,,2021-03-05,,5879013.0,45.0
Sudan,SDN,EMRO,REPORTING,2023-12-31,2.8662107E7,1.5207452E7,65.0,35.0,1.3416394E7,31.0,,2021-03-09,,38261.0,
Senegal,SEN,AFRO,REPORTING,2023-12-31,3182308.0,2684696.0,19.0,16.0,1548665.0,9.0,,2021-02-23,,724754.0,4.0
Sierra Leone,SLE,AFRO,REPORTING,2023-12-31,9155936.0,5676123.0,115.0,71.0,4961886.0,62.0,,2021-03-15,,1201709.0,15.0
El Salvador,SLV,AMRO,REPORTING,2023-12-29,1.1459448E7,4659970.0,177.0,72.0,4397817.0,68.0,,2021-02-17,,1908547.0,29.0
San Marino,SMR,EURO,REPORTING,2023-12-23,69338.0,26357.0,204.0,78.0,23633.0,70.0,,2021-02-24,,19348.0,57.0
Somalia,SOM,EMRO,REPORTING,2023-12-31,8784760.0,8972167.0,55.0,56.0,7666835.0,48.0,,2021-03-16,,,
Serbia,SRB,EURO,REPORTING,2023-12-23,6722671.0,3398116.0,97.0,49.0,3324555.0,48.0,,2020-12-23,,,
South Sudan,SSD,AFRO,REPORTING,2023-12-31,4365547.0,4315127.0,39.0,39.0,4273253.0,38.0,,2021-04-06,,513122.0,5.0
Sao Tome and Principe,STP,AFRO,REPORTING,2023-12-31,263863.0,140256.0,120.0,64.0,111986.0,51.0,,2021-03-15,,34624.0,16.0
Suriname,SUR,AMRO,REPORTING,2023-12-29,554588.0,267820.0,95.0,46.0,237879.0,41.0,,2021-02-23,,48889.0,8.0
Slovakia,SVK,EURO,REPORTING,2023-12-23,7222380.0,2840017.0,132.0,52.0,2791711.0,51.0,,2020-12-23,,1686458.0,31.0
Slovenia,SVN,EURO,REPORTING,2023-12-23,3028400.0,1252307.0,144.0,60.0,1187384.0,57.0,,2020-12-23,,681485.0,33.0
Sweden,SWE,EURO,REPORTING,2023-12-23,2.3237123E7,7563941.0,225.0,73.0,7403549.0,72.0,,2020-12-23,,5542831.0,54.0
Eswatini,SWZ,AFRO,REPORTING,2023-12-31,870205.0,526050.0,75.0,45.0,427335.0,37.0,,2021-03-19,,179450.0,15.0
Sint Maarten (Dutch part),SXM,AMRO,REPORTING,2023-12-29,66829.0,29788.0,156.0,69.0,26773.0,62.0,,,,9146.0,21.0
Seychelles,SYC,AFRO,REPORTING,2023-12-31,224558.0,88520.0,228.0,90.0,83565.0,85.0,,2021-01-10,,44936.0,46.0
Turks and Caicos Islands,TCA,AMRO,REPORTING,2023-12-29,73907.0,32815.0,191.0,85.0,30710.0,79.0,,2021-01-11,,7443.0,19.0
Chad,TCD,AFRO,REPORTING,2023-12-31,9151765.0,5147667.0,56.0,31.0,5020360.0,31.0,,2021-06-04,,4042573.0,25.0
Togo,TGO,AFRO,REPORTING,2023-12-31,3423181.0,2255579.0,41.0,27.0,1554066.0,19.0,,2021-03-10,,427804.0,5.0
Tajikistan,TJK,EURO,REPORTING,2023-12-23,2.0568163E7,5328277.0,216.0,56.0,5191919.0,54.0,,2021-03-24,,5322496.0,56.0
Turkmenistan,TKM,EURO,REPORTING,2023-12-23,1.677597E7,4614869.0,278.0,77.0,4568901.0,76.0,,2021-02-24,,3816400.0,63.0
Trinidad and Tobago,TTO,AMRO,REPORTING,2023-12-29,1592148.0,754399.0,114.0,54.0,718969.0,51.0,,2021-02-17,,174836.0,12.0
Tunisia,TUN,EMRO,REPORTING,2023-12-31,1.6553338E7,8896848.0,140.0,75.0,6401705.0,54.0,,2021-03-13,,1258577.0,11.0
T�rkiye,TUR,EURO,REPORTING,2023-12-23,1.52475057E8,5.7936783E7,181.0,69.0,5.317179E7,63.0,,,,2.7896331E7,33.0
United Republic of Tanzania,TZA,AFRO,REPORTING,2023-12-31,3.9392419E7,3.4434933E7,66.0,58.0,3.2165791E7,54.0,,2021-07-28,,,
Uganda,UGA,AFRO,REPORTING,2023-12-31,2.6406936E7,2.0033189E7,58.0,44.0,1.3061126E7,29.0,,2021-03-10,,764664.0,2.0
Ukraine,UKR,EURO,REPORTING,2023-12-23,3.5735488E7,1.6267198E7,82.0,37.0,1.5741036E7,36.0,,2021-02-24,,3294979.0,8.0
Uruguay,URY,AMRO,REPORTING,2023-12-29,9037498.0,3010464.0,260.0,87.0,2903186.0,84.0,,2021-02-27,,2080961.0,60.0
United States of America,USA,AMRO,REPORTING,2023-12-29,7.1181379E8,2.70227181E8,215.0,82.0,2.30637348E8,70.0,,2020-12-14,,1.18438297E8,36.0
Uzbekistan,UZB,EURO,REPORTING,2023-12-23,8.3937954E7,2.209447E7,251.0,66.0,1.8451781E7,55.0,,2021-04-28,,1.6413048E7,49.0
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,2023-12-29,73443.0,37532.0,66.0,34.0,31632.0,29.0,,2021-02-01,,4279.0,4.0
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,2023-12-29,3.7860994E7,2.2157232E7,133.0,78.0,1.428737E7,50.0,,2021-02-22,,651502.0,2.0
British Virgin Islands,VGB,AMRO,REPORTING,2023-12-29,41453.0,19466.0,137.0,64.0,18261.0,60.0,,2021-02-11,,3726.0,12.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),XKX,EURO,REPORTING,2023-12-23,1836901.0,904558.0,102.0,50.0,824752.0,46.0,,2021-03-31,,105624.0,6.0
Yemen,YEM,EMRO,REPORTING,2023-12-10,1298654.0,1050202.0,4.0,4.0,807057.0,3.0,,2021-04-20,,68925.0,
South Africa,ZAF,AFRO,REPORTING,2023-12-31,4.1798812E7,2.4210953E7,70.0,41.0,2.1038797E7,35.0,,2021-02-17,,4410601.0,7.0
Zambia,ZMB,AFRO,REPORTING,2023-12-31,1.3615707E7,1.1711565E7,74.0,64.0,9155551.0,50.0,,2021-04-14,,1414619.0,8.0
Zimbabwe,ZWE,AFRO,REPORTING,2023-12-31,1.3935112E7,7525882.0,94.0,51.0,5662119.0,38.0,,2021-02-18,,2299968.0,15.0
